"","date","var","lwr","med","upr","trim","convergence_code","province_name","province","value","type"
"262",2020-11-19,"ICU",43,57,70.05,"full",0,"Alberta","AB",61,"fit"
"263",2020-11-19,"death",10,17,24,"full",0,"Alberta","AB",8,"fit"
"264",2020-11-19,"report",1245,1374,1496.15,"full",0,"Alberta","AB",1105,"fit"
"265",2020-11-20,"H",209,236,266,"full",0,"Alberta","AB",252,"fit"
"266",2020-11-20,"ICU",46,60,73,"full",0,"Alberta","AB",58,"fit"
"267",2020-11-20,"death",6,12,18,"full",0,"Alberta","AB",11,"fit"
"268",2020-11-20,"report",1256.95,1394,1530,"full",0,"Alberta","AB",1155,"fit"
"269",2020-11-21,"H",215,246,278,"full",0,"Alberta","AB",264,"fit"
"270",2020-11-21,"ICU",50,62,78,"full",0,"Alberta","AB",56,"fit"
"271",2020-11-21,"death",7,12,18,"full",0,"Alberta","AB",9,"fit"
"272",2020-11-21,"report",1262.95,1411,1586.15,"full",0,"Alberta","AB",1336,"fit"
"273",2020-11-22,"H",227,257.5,287.05,"full",0,"Alberta","AB",264,"fit"
"274",2020-11-22,"ICU",52,66,80,"full",0,"Alberta","AB",56,"fit"
"275",2020-11-22,"death",7,13,20,"full",0,"Alberta","AB",NA,"fit"
"276",2020-11-22,"report",1262.85,1442.5,1622.6,"full",0,"Alberta","AB",1584,"fit"
"277",2020-11-23,"H",239,268,299.05,"full",0,"Alberta","AB",266,"fit"
"278",2020-11-23,"ICU",55,68,83,"full",0,"Alberta","AB",62,"fit"
"279",2020-11-23,"death",8,13,19,"full",0,"Alberta","AB",5,"fit"
"280",2020-11-23,"report",1313.8,1469,1637,"full",0,"Alberta","AB",1549,"fit"
"281",2020-11-24,"H",248,278,312.05,"full",0,"Alberta","AB",282,"fit"
"282",2020-11-24,"ICU",57,70,86.05,"full",0,"Alberta","AB",66,"fit"
"283",2020-11-24,"death",8,13,20,"full",0,"Alberta","AB",16,"fit"
"284",2020-11-24,"report",1338.9,1499,1655.05,"full",0,"Alberta","AB",1115,"fit"
"285",2020-11-25,"H",258,290,320,"full",0,"Alberta","AB",284,"fit"
"286",2020-11-25,"ICU",60,74,89.05,"full",0,"Alberta","AB",71,"fit"
"287",2020-11-25,"death",9,14,20,"full",0,"Alberta","AB",8,"fit"
"288",2020-11-25,"report",1376.95,1512.5,1649.1,"full",0,"Alberta","AB",1265,"fit"
"289",2020-11-26,"H",271,302,338,"full",0,"Alberta","AB",299,"fit"
